gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
-13.847,35.962,-28.817,-0.452,-0.189,0.805,38.37,446,-1038,-993
0.26,23.191,-9,-0.415,-0.257,0.831,38.13,496,-1118,-922
4.618,52.794,0.305,-0.603,-0.162,0.729,38.37,530,-1130,-890
7.389,38.626,2.321,-0.535,-0.278,0.857,38.37,552,-1166,-857
8.237,11.389,2.061,-0.511,-0.204,0.746,38.32,545,-1215,-815
2.351,10.84,0.183,-0.567,-0.205,0.718,38.27,530,-1237,-785
0.191,21.763,-11.237,-0.586,-0.206,0.781,38.32,556,-1276,-730
2.382,20.046,-26.672,-0.609,-0.231,0.702,38.13,578,-1300,-645
9.214,9.321,-17.16,-0.642,-0.27,0.681,38.32,645,-1336,-593
9.84,17.763,-3.305,-0.646,-0.284,0.686,38.32,693,-1365,-543
10.802,31.649,-4.58,-0.601,-0.281,0.633,38.46,693,-1385,-488
25.267,44.733,-23.061,-0.701,-0.365,0.595,38.18,735,-1445,-401
29.458,43.435,-26.618,-0.637,-0.303,0.573,38.13,840,-1442,-302
22.74,58.527,-29.947,-0.755,-0.332,0.533,38.18,917,-1457,-182
25.237,54.611,-31.366,-0.755,-0.458,0.379,38.18,1011,-1462,-47
37.656,53.099,-36.786,-0.767,-0.401,0.401,38.18,1106,-1437,72
43.076,31.931,-43.847,-0.761,-0.428,0.346,38.37,1287,-1370,162
33.603,34.015,-39.336,-0.74,-0.447,0.356,38.32,1441,-1307,210
15.87,31.344,-20.16,-0.711,-0.57,0.281,38.27,1566,-1248,270
31.939,43.847,-52.229,-0.726,-0.596,0.254,38.27,1715,-1113,336
