gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.626,1.672,-0.252,-0.021,-0.008,0.992,37.61,-647.00,-723.00,-892.00
1.832,1.473,-0.145,-0.017,-0.010,0.995,37.33,-641.00,-726.00,-887.00
1.466,1.313,-0.260,-0.019,-0.010,0.986,37.61,-650.00,-713.00,-890.00
1.725,1.389,-0.298,-0.017,-0.007,0.984,37.61,-641.00,-723.00,-905.00
1.664,1.580,-0.420,-0.015,-0.009,0.990,37.28,-643.00,-723.00,-890.00
1.374,1.313,0.023,-0.017,-0.011,0.992,37.42,-636.00,-701.00,-892.00
1.641,1.557,-0.198,-0.022,-0.013,0.992,37.57,-616.00,-716.00,-892.00
1.412,1.389,-0.252,-0.022,-0.012,0.996,37.42,-655.00,-723.00,-885.00
1.466,1.611,-0.061,-0.016,-0.012,0.989,37.28,-652.00,-718.00,-895.00
1.412,1.374,-0.214,-0.016,-0.010,0.987,37.28,-650.00,-726.00,-892.00
1.626,1.649,-0.344,-0.019,-0.012,0.991,37.33,-643.00,-721.00,-882.00
1.489,1.641,-0.183,-0.019,-0.008,0.982,37.28,-638.00,-721.00,-887.00
1.397,1.435,-0.160,-0.016,-0.010,0.988,37.14,-650.00,-726.00,-877.00
1.626,1.550,-0.183,-0.016,-0.012,0.989,37.33,-638.00,-726.00,-895.00
1.450,1.473,-0.137,-0.018,-0.008,0.986,37.24,-645.00,-728.00,-885.00
1.626,1.573,-0.069,-0.017,-0.012,0.990,36.95,-645.00,-728.00,-890.00
1.450,1.527,-0.130,-0.021,-0.008,0.993,37.14,-638.00,-718.00,-907.00
1.809,1.618,-0.427,-0.013,-0.010,0.990,37.14,-657.00,-713.00,-900.00
1.809,1.786,-0.122,-0.016,-0.011,0.985,37.05,-662.00,-733.00,-890.00
1.466,1.687,-0.023,-0.010,-0.010,0.995,37.14,-647.00,-723.00,-892.00
1.580,1.626,-0.176,-0.015,-0.009,0.986,36.95,-641.00,-723.00,-892.00
1.435,1.267,-0.122,-0.020,-0.014,0.988,36.91,-645.00,-726.00,-890.00
1.809,1.206,-0.412,-0.004,-0.011,0.977,36.95,-652.00,-726.00,-897.00
1.366,1.511,-0.244,-0.021,-0.012,0.990,36.95,-647.00,-726.00,-895.00
1.344,1.664,-0.282,-0.016,-0.012,0.988,36.95,-647.00,-721.00,-887.00
1.931,1.489,-0.244,-0.020,-0.013,0.994,37.05,-628.00,-733.00,-887.00
1.382,1.634,-0.214,-0.018,-0.011,0.990,36.95,-638.00,-726.00,-885.00
1.557,1.489,-0.351,-0.018,-0.009,0.986,36.77,-643.00,-733.00,-887.00
1.397,1.550,-0.244,-0.020,-0.012,0.983,37.05,-650.00,-726.00,-885.00
1.427,1.328,-0.191,-0.020,-0.011,0.989,36.58,-628.00,-726.00,-885.00
1.519,1.511,0.061,-0.014,-0.012,0.990,36.77,-645.00,-723.00,-890.00
1.542,1.695,-0.076,-0.019,-0.011,0.987,36.58,-647.00,-728.00,-897.00
1.458,1.557,-0.176,-0.016,-0.010,0.989,36.77,-631.00,-726.00,-895.00
1.519,1.481,0.069,-0.015,-0.008,0.989,36.62,-638.00,-728.00,-892.00
1.718,1.313,-0.206,-0.017,-0.008,0.988,36.72,-643.00,-728.00,-900.00
1.908,1.603,-0.115,-0.017,-0.011,0.985,36.53,-643.00,-723.00,-900.00
1.527,1.718,-0.053,-0.018,-0.010,0.989,36.62,-647.00,-721.00,-900.00
1.588,1.443,-0.168,-0.020,-0.012,0.983,36.62,-641.00,-737.00,-890.00
1.817,1.443,-0.405,-0.017,-0.010,0.985,36.62,-638.00,-745.00,-902.00
2.084,1.634,-0.069,-0.018,-0.008,0.987,36.81,-633.00,-728.00,-885.00
1.664,1.710,-0.183,-0.019,-0.007,0.985,36.62,-643.00,-708.00,-915.00
1.687,1.870,-0.313,-0.004,-0.011,0.978,36.44,-655.00,-731.00,-890.00
1.748,1.290,-0.275,-0.019,-0.009,0.986,36.62,-641.00,-723.00,-895.00
1.832,1.351,-0.145,-0.030,-0.012,0.997,36.53,-638.00,-731.00,-897.00
1.618,1.321,-0.313,-0.017,-0.009,0.989,36.29,-645.00,-726.00,-892.00
1.534,1.351,-0.084,-0.025,-0.011,0.989,36.29,-638.00,-723.00,-885.00
1.756,1.534,-0.344,-0.016,-0.012,0.988,36.39,-643.00,-733.00,-902.00
1.534,1.771,-0.237,-0.016,-0.010,0.984,36.11,-641.00,-731.00,-895.00
1.550,1.702,-0.061,-0.016,-0.013,0.990,36.25,-641.00,-718.00,-895.00
1.771,1.618,-0.290,-0.016,-0.010,0.983,36.20,-638.00,-731.00,-887.00
1.504,1.656,-0.336,-0.016,-0.012,0.986,36.39,-655.00,-718.00,-902.00
1.939,1.443,-0.137,-0.016,-0.012,0.986,36.01,-643.00,-728.00,-902.00
1.710,1.359,-0.076,-0.014,-0.007,0.990,36.20,-647.00,-728.00,-895.00
1.687,1.931,-0.305,-0.006,-0.015,0.978,36.20,-643.00,-731.00,-882.00
1.626,1.939,-0.084,-0.017,-0.007,0.981,36.20,-645.00,-728.00,-887.00
1.794,1.420,-0.267,-0.013,-0.014,0.988,36.11,-652.00,-731.00,-900.00
1.595,1.260,-0.290,-0.016,-0.012,0.985,36.25,-641.00,-731.00,-905.00
1.511,1.618,-0.344,-0.019,-0.012,0.989,36.20,-650.00,-723.00,-895.00
1.733,1.718,-0.244,-0.017,-0.008,0.986,36.06,-647.00,-733.00,-895.00
1.786,1.435,0.076,-0.017,-0.010,0.988,36.01,-638.00,-736.00,-887.00
1.725,1.351,-0.115,-0.014,-0.009,0.985,36.01,-645.00,-736.00,-900.00
1.809,1.519,-0.198,-0.015,-0.011,0.995,35.92,-647.00,-718.00,-905.00
1.580,1.565,-0.214,-0.012,-0.008,0.990,35.92,-631.00,-723.00,-902.00
1.634,1.183,-0.214,-0.017,-0.009,0.985,36.25,-655.00,-736.00,-897.00
1.863,1.534,-0.229,-0.014,-0.009,0.988,35.73,-641.00,-703.00,-900.00
1.321,1.443,-0.107,-0.015,-0.010,0.982,35.68,-660.00,-716.00,-892.00
1.847,1.565,-0.153,-0.012,-0.011,0.987,36.11,-660.00,-736.00,-885.00
1.794,1.649,-0.405,-0.018,-0.013,0.986,35.92,-647.00,-733.00,-890.00
1.634,1.412,-0.275,-0.019,-0.011,0.979,35.78,-652.00,-726.00,-897.00
1.565,1.313,0.061,-0.016,-0.012,0.987,35.73,-641.00,-733.00,-897.00
1.634,1.466,-0.328,-0.013,-0.014,0.978,35.73,-650.00,-731.00,-902.00
1.580,1.550,-0.130,-0.017,-0.008,0.984,35.73,-645.00,-728.00,-897.00
1.634,1.427,-0.137,-0.015,-0.015,0.981,35.49,-643.00,-723.00,-890.00
1.611,1.588,-0.244,-0.011,-0.008,0.987,35.78,-643.00,-711.00,-882.00
1.710,1.588,-0.107,-0.016,-0.009,0.989,35.73,-647.00,-723.00,-892.00
1.756,1.481,-0.244,-0.016,-0.009,0.989,35.68,-643.00,-733.00,-897.00
1.649,1.489,-0.244,-0.016,-0.011,0.981,35.78,-641.00,-711.00,-900.00
1.290,1.550,-0.122,-0.017,-0.009,0.983,35.59,-638.00,-708.00,-892.00
1.672,1.542,-0.153,-0.018,-0.006,0.985,35.73,-645.00,-721.00,-890.00
1.863,1.702,-0.099,-0.012,-0.012,0.988,35.54,-643.00,-731.00,-897.00
1.641,1.496,-0.160,-0.016,-0.010,0.981,35.68,-647.00,-721.00,-900.00
1.511,1.420,-0.427,-0.018,-0.013,0.989,35.54,-633.00,-736.00,-885.00
1.588,1.718,0.015,-0.016,-0.010,0.982,35.54,-657.00,-731.00,-895.00
1.733,1.534,-0.359,-0.015,-0.007,0.985,35.35,-650.00,-728.00,-900.00
1.527,1.756,0.023,-0.013,-0.010,0.978,35.35,-650.00,-726.00,-895.00
1.466,1.412,-0.244,-0.017,-0.009,0.986,35.54,-645.00,-736.00,-885.00
1.702,1.405,-0.305,-0.017,-0.011,0.986,35.26,-643.00,-736.00,-885.00
1.725,2.244,-0.221,0.001,-0.016,0.975,35.35,-643.00,-723.00,-895.00
1.588,0.153,-0.252,-0.029,-0.006,0.999,35.54,-657.00,-721.00,-902.00
1.427,1.779,-0.412,-0.015,-0.010,0.982,35.21,-645.00,-736.00,-887.00
1.534,1.580,0.130,-0.012,-0.010,0.988,35.26,-650.00,-721.00,-897.00
1.557,1.137,0.038,-0.009,-0.009,0.980,35.26,-636.00,-726.00,-907.00
1.939,1.588,-0.328,-0.014,-0.009,0.993,35.21,-643.00,-713.00,-872.00
1.603,1.443,-0.282,-0.016,-0.008,0.984,35.26,-650.00,-733.00,-882.00
1.718,1.626,-0.015,-0.011,-0.010,0.982,35.07,-647.00,-736.00,-900.00
1.519,1.702,-0.252,-0.018,-0.010,0.989,35.07,-621.00,-703.00,-880.00
1.687,1.374,-0.305,-0.016,-0.011,0.987,35.17,-638.00,-716.00,-877.00
1.573,1.496,-0.282,-0.018,-0.010,0.983,35.02,-628.00,-723.00,-882.00
1.748,1.305,0.183,-0.016,-0.010,0.991,35.02,-638.00,-721.00,-882.00
1.481,1.710,-0.107,-0.010,-0.011,0.982,35.02,-638.00,-723.00,-870.00
1.786,1.550,-0.053,-0.011,-0.010,0.984,34.98,-621.00,-708.00,-865.00
1.557,1.504,-0.221,-0.018,-0.010,0.991,34.98,-633.00,-721.00,-880.00
1.771,1.481,-0.031,-0.014,-0.010,0.985,35.02,-638.00,-713.00,-882.00
1.733,1.328,-0.107,-0.014,-0.012,0.983,35.02,-631.00,-733.00,-875.00
1.725,1.466,-0.260,-0.016,-0.013,0.982,35.07,-618.00,-718.00,-870.00
1.794,1.321,-0.237,-0.015,-0.010,0.981,34.74,-631.00,-713.00,-877.00
1.672,1.427,-0.076,-0.015,-0.012,0.983,34.69,-638.00,-718.00,-875.00
1.573,1.626,-0.366,-0.015,-0.013,0.990,34.84,-623.00,-718.00,-882.00
1.885,1.634,0.252,-0.013,-0.013,0.990,34.74,-641.00,-716.00,-897.00
1.748,1.397,-0.137,-0.014,-0.015,0.986,34.84,-633.00,-718.00,-885.00
1.634,1.298,-0.061,-0.015,-0.012,0.990,34.69,-643.00,-726.00,-872.00
1.893,1.542,-0.206,-0.017,-0.013,0.986,34.84,-645.00,-728.00,-882.00
1.565,1.626,-0.160,-0.014,-0.012,0.982,34.74,-645.00,-718.00,-882.00
1.687,1.321,-0.008,-0.017,-0.014,0.984,34.69,-633.00,-713.00,-882.00
1.779,1.763,-0.168,-0.011,-0.009,0.984,34.69,-623.00,-716.00,-875.00
1.672,1.733,0.084,-0.011,-0.005,0.984,34.46,-641.00,-723.00,-887.00
1.756,1.481,-0.229,-0.015,-0.008,0.982,34.74,-615.00,-706.00,-867.00
1.626,1.344,-0.397,-0.011,-0.009,0.980,34.46,-638.00,-721.00,-887.00
1.641,1.656,-0.183,-0.018,-0.009,0.982,34.46,-645.00,-723.00,-880.00
1.550,1.252,-0.015,-0.015,-0.009,0.987,34.46,-628.00,-713.00,-882.00
1.595,1.359,-0.084,-0.017,-0.011,0.986,34.46,-636.00,-736.00,-887.00
